nct_id,success
NCT04465877,0.0
NCT03617081,0.0
NCT01427257,0.0
NCT01068730,0.0
NCT00839683,0.0
NCT02353975,0.0
NCT06945406,0.0
NCT03646721,0.0
NCT03565458,0.0
NCT01916174,0.0
NCT05363774,0.0
NCT03738449,0.0
NCT05731544,1.0
NCT01302028,1.0
NCT00704132,0.0
NCT05113693,0.0
NCT02201199,0.0
NCT04259801,1.0
NCT01477567,0.0
NCT04857398,0.0
NCT04623567,0.0
NCT07160257,0.0
NCT05762471,0.0
NCT01128985,0.0
NCT03387657,0.0
NCT06333977,0.0
NCT01856881,0.0
NCT01383356,0.0
NCT01088594,0.0
NCT02169531,0.0
NCT06506175,0.0
NCT06124495,0.0
NCT06124547,0.0
NCT05887999,0.0
NCT01240252,0.0
NCT05893576,0.0
NCT04957914,0.0
NCT01555008,0.0
NCT01507285,1.0
NCT00437606,0.0
NCT03347968,0.0
NCT00625859,0.0
NCT05510245,1.0
NCT04838405,0.0
NCT00933972,0.0
NCT05435677,0.0
NCT05427682,0.0
NCT03686722,0.0
NCT05152277,0.0
NCT03444467,0.0
NCT02686281,0.0
NCT00541983,1.0
NCT01497600,0.0
NCT06829563,0.0
NCT04345107,0.0
NCT04322032,0.0
NCT06524960,0.0
NCT03169959,0.0
NCT01664624,0.0
NCT02367066,0.0
NCT06151964,0.0
NCT03292185,0.0
NCT03789578,0.0
NCT02932826,0.0
NCT05134662,0.0
NCT01868529,0.0
NCT02821871,0.0
NCT05377333,1.0
NCT00933062,0.0
NCT01147861,0.0
NCT02913703,0.0
NCT04068272,0.0
NCT05694741,0.0
NCT02716610,0.0
NCT03211195,1.0
NCT03170544,0.0
NCT02791867,0.0
NCT00642538,0.0
NCT05747664,0.0
NCT00508287,0.0
NCT00494767,0.0
NCT01619332,0.0
NCT06132204,0.0
NCT01835730,1.0
NCT03367377,0.0
NCT03849495,0.0
NCT02223065,0.0
NCT01572753,0.0
NCT04982705,0.0
NCT01302145,0.0
NCT01474161,0.0
NCT02009488,0.0
NCT00259896,1.0
NCT06293742,0.0
NCT00899470,0.0
NCT05227196,0.0
NCT00897390,0.0
NCT04466904,1.0
NCT06483243,0.0
NCT01525225,0.0
NCT04698018,0.0
NCT02806973,0.0
NCT02121483,0.0
NCT00404963,0.0
NCT06942936,0.0
NCT06652971,0.0
NCT03686657,0.0
NCT01097681,1.0
NCT04276428,1.0
NCT05385575,0.0
NCT00607945,0.0
NCT01089166,0.0
NCT05327595,0.0
NCT00530309,0.0
NCT01407276,0.0
NCT01319734,0.0
NCT02854748,0.0
NCT04354090,0.0
NCT01607385,0.0
NCT02500485,0.0
NCT01762046,0.0
NCT05943886,0.0
NCT00886366,0.0
NCT00754143,0.0
NCT00811460,0.0
NCT05816759,0.0
NCT00269061,1.0
NCT01948986,0.0
NCT01272973,1.0
NCT03745885,0.0
NCT00511108,0.0
NCT03462017,0.0
NCT01576328,0.0
NCT06845202,0.0
NCT07020377,0.0
NCT00606112,0.0
NCT06495931,0.0
